n,time
252,0.12042268041237113
253,0.11937234042553192
254,0.12052395833333333
255,0.125724
256,0.12560927835051547
257,0.124746875
258,0.12681546391752577
259,0.12548172043010752
260,0.12532947368421052
261,0.13041717171717174
262,0.1310948979591837
263,0.12839574468085108
264,0.13091684210526314
265,0.13160520833333333
266,0.1310462365591398
267,0.1343020202020202
268,0.13461041666666665
269,0.13591875
270,0.13542105263157894
271,0.13678387096774194
272,0.14361632653061226
273,0.148973
274,0.1430357142857143
275,0.14176701030927835
276,0.1417382978723404
277,0.1429494623655914
278,0.14660104166666668
279,0.15076499999999998
280,0.14577234042553192
281,0.1470021276595745
282,0.15109595959595962
283,0.15255151515151516
284,0.15306565656565657
285,0.14952872340425533
286,0.15744444444444444
287,0.16002525252525251
288,0.15709285714285715
289,0.15992448979591836
290,0.1581908163265306
291,0.1602959595959596
292,0.1627704081632653
293,0.16103541666666668
294,0.15991914893617024
295,0.16561717171717172
296,0.16092474226804124
297,0.1664081632653061
298,0.16326914893617023
299,0.16565744680851063
300,0.1684191919191919
301,0.17273131313131312
302,0.17636500000000002
303,0.17323939393939394
304,0.1736272727272727
305,0.179585
306,0.17717755102040814
307,0.17685510204081634
308,0.17862653061224487
309,0.1766721649484536
310,0.1838070707070707
311,0.18325510204081633
312,0.18072061855670105
313,0.1825
314,0.18708099999999997
315,0.18443737373737373
316,0.191472
317,0.189697
318,0.19293775510204084
319,0.18952268041237114
320,0.19132040816326532
321,0.1931191919191919
322,0.19669699999999998
323,0.19050645161290322
324,0.19154736842105263
325,0.198949
326,0.19868282828282827
327,0.19559893617021276
328,0.20035408163265306
329,0.2035030303030303
330,0.207181
331,0.207097
332,0.20676099999999997
333,0.208716
334,0.21165656565656565
335,0.214402
336,0.24854199999999999
337,0.24835151515151516
338,0.25114949494949496
339,0.2606121212121212
340,0.25856999999999997
341,0.255873
342,0.22578700000000002
343,0.21744845360824744
344,0.224516
345,0.224448
346,0.230198
347,0.2222051020408163
348,0.22544845360824745
349,0.22140104166666666
350,0.22803535353535356
351,0.232064
352,0.234208
353,0.23194242424242423
354,0.236813
355,0.23574343434343434
356,0.23606020408163267
357,0.23021612903225808
358,0.2383639175257732
359,0.24705555555555556
360,0.24143838383838384
361,0.25136
362,0.24672525252525251
363,0.25058199999999997
364,0.2511989898989899
365,0.250624
366,0.253931
367,0.2535737373737374
368,0.26204
369,0.2574183673469388
370,0.26053163265306123
371,0.268254
