n,time
97,0.024658163265306125
98,0.02368804347826087
99,0.02378709677419355
100,0.02444040404040404
101,0.025059595959595962
102,0.024028865979381444
103,0.024707142857142858
104,0.024553535353535355
105,0.023825510204081635
106,0.023916304347826087
107,0.02647551020408163
108,0.024735483870967738
109,0.025330612244897962
110,0.0244265306122449
111,0.025331632653061223
112,0.02388080808080808
113,0.024671428571428573
114,0.02391340206185567
115,0.023844791666666667
116,0.024087755102040816
117,0.02458
118,0.025104
119,0.023795833333333336
120,0.024584848484848484
121,0.023986956521739128
122,0.024698979591836735
123,0.024054736842105264
124,0.023786597938144333
125,0.02485050505050505
126,0.023742708333333334
127,0.024445360824742267
128,0.023735353535353537
129,0.07373225806451612
130,0.07460515463917526
131,0.07373684210526316
132,0.0737319587628866
133,0.07438526315789475
134,0.0762969696969697
135,0.07538080808080808
136,0.07459595959595959
137,0.07336105263157895
138,0.07332765957446809
139,0.07721616161616161
140,0.07615051546391752
141,0.07437157894736841
142,0.07401458333333334
143,0.07585408163265306
144,0.07336315789473684
145,0.0746765306122449
146,0.07513775510204082
147,0.07583877551020408
148,0.07337789473684211
149,0.07623163265306122
150,0.07401979166666667
151,0.07537113402061855
152,0.078712
153,0.07584489795918367
154,0.07342717391304347
155,0.07513434343434343
156,0.07546494845360825
157,0.07645353535353536
158,0.07480106382978723
159,0.073803125
160,0.077772
161,0.07397717391304348
162,0.07682268041237113
163,0.07553636363636364
164,0.07533333333333334
165,0.07386666666666666
166,0.07608585858585859
167,0.07516565656565656
168,0.07516701030927835
169,0.07587676767676768
170,0.07522142857142856
171,0.07611111111111112
172,0.07548469387755102
173,0.07563711340206186
174,0.0751969387755102
175,0.0735268817204301
176,0.07506262626262626
177,0.07586464646464647
178,0.07318510638297873
179,0.07387282608695653
180,0.077156
181,0.07341827956989247
182,0.0736891304347826
183,0.07312857142857143
184,0.07460408163265307
185,0.0733021505376344
186,0.07426
187,0.0761080808080808
188,0.07283571428571428
189,0.075221
190,0.07430421052631579
191,0.0736945652173913
192,0.075614
193,0.07461836734693877
194,0.07325268817204302
195,0.07515
196,0.07337765957446808
197,0.07642121212121211
198,0.07300760869565218
199,0.07291086956521739
200,0.075327
201,0.0730125
202,0.07302826086956522
203,0.07299263157894738
204,0.0751061224489796
205,0.07424432989690721
206,0.07315760869565217
207,0.07540707070707071
208,0.07474646464646466
209,0.073740625
210,0.075312
211,0.07366914893617021
212,0.07478282828282828
213,0.07573163265306122
214,0.07681938775510204
215,0.07721212121212122
216,0.07706363636363636
217,0.07345483870967742
218,0.07308152173913043
219,0.07335208333333333
220,0.076038
221,0.0751979797979798
222,0.07479489795918368
223,0.07298817204301075
224,0.0757020202020202
225,0.07640204081632652
226,0.0745625
227,0.07507448979591837
228,0.07480515463917525
229,0.07331505376344086
230,0.075966
231,0.07476907216494845
